day,gross_sales,discounts,orders,average_order_value
2023-05-01,0.000,0.000,0,0.000
2023-05-02,0.000,0.000,0,0.000
2023-05-03,0.000,0.000,0,0.000
2023-05-04,0.000,0.000,0,0.000
2023-05-05,0.000,0.000,0,0.000
2023-05-06,0.000,0.000,0,0.000
2023-05-07,0.000,0.000,0,0.000
2023-05-08,0.000,0.000,0,0.000
2023-05-09,0.000,0.000,0,0.000
2023-05-10,80.980,-80.980,1,0.000
2023-05-11,0.000,0.000,0,0.000
2023-05-12,323.920,-24.280,4,74.910
2023-05-13,144.960,-21.730,4,30.807
2023-05-14,36.440,0.000,1,36.440
2023-05-15,0.000,0.000,0,0.000
2023-05-16,204.890,-25.250,5,35.928
2023-05-17,592.040,-6.070,15,39.064
2023-05-18,40.490,0.000,1,40.490
2023-05-19,161.960,-40.000,4,30.490
2023-05-20,0.000,0.000,0,0.000
2023-05-21,225.940,0.000,6,37.656
2023-05-22,228.380,-20.000,6,34.730
2023-05-23,168.450,-10.000,4,39.612
2023-05-24,569.300,-6.070,10,56.323
2023-05-25,0.000,0.000,0,0.000
2023-05-26,23.490,0.000,1,23.490
2023-05-27,0.000,0.000,0,0.000
2023-05-28,0.000,0.000,0,0.000
2023-05-29,63.980,0.000,2,31.990
2023-05-30,0.000,0.000,0,0.000
2023-05-31,337.790,-8.090,10,32.970
2023-06-01,185.450,0.000,5,37.090
2023-06-02,161.960,0.000,3,53.986
2023-06-03,157.910,0.000,2,78.955
2023-06-04,21.140,0.000,1,21.140
2023-06-05,40.490,0.000,1,40.490
2023-06-06,0.000,0.000,0,0.000
2023-06-07,268.870,0.000,6,44.811
2023-06-08,121.470,-40.490,3,26.993
2023-06-09,59.930,-23.490,2,18.220
2023-06-10,63.980,0.000,2,31.990
2023-06-11,40.490,0.000,1,40.490
2023-06-12,23.490,0.000,1,23.490
2023-06-13,36.440,0.000,1,36.440
2023-06-14,166.900,0.000,4,41.725
2023-06-15,44.630,0.000,2,22.315
2023-06-16,209.740,0.000,6,34.956
2023-06-17,104.470,0.000,3,34.823
2023-06-18,21.140,0.000,1,21.140
2023-06-19,0.000,0.000,0,0.000
2023-06-20,40.490,0.000,1,40.490
2023-06-21,132.810,0.000,4,33.202
2023-06-22,0.000,0.000,0,0.000
2023-06-23,185.450,0.000,3,61.816
2023-06-24,0.000,0.000,0,0.000
2023-06-25,336.900,0.000,10,33.690
2023-06-26,9265.010,-19.220,268,34.499
2023-06-27,2547.020,-113.580,74,32.884
2023-06-28,575.820,-59.460,18,28.686
2023-06-29,1719.390,-175.110,54,28.597
2023-06-30,693.270,-66.790,22,28.476
2023-07-01,381.530,-35.950,11,31.416
2023-07-02,187.890,-15.100,6,28.798
2023-07-03,413.830,-35.310,11,34.410
2023-07-04,356.340,-31.910,10,32.443
2023-07-05,441.370,-44.070,8,49.662
2023-07-06,272.920,-26.920,8,30.750
2023-07-07,255.920,-25.530,7,32.912
2023-07-08,254.280,-14.460,7,34.260
2023-07-09,87.470,-8.720,3,26.250
2023-07-10,208.940,-24.920,6,30.670
2023-07-11,573.350,-58.470,7,73.554
2023-07-12,208.940,-20.840,6,31.350
2023-07-13,127.960,-12.760,4,28.800
2023-07-14,104.470,-12.460,3,30.670
2023-07-15,161.960,-16.180,2,72.890
2023-07-16,185.450,-16.160,5,33.858
2023-07-17,59.930,-2.340,2,28.795
2023-07-18,140.910,-10.420,4,32.622
2023-07-19,23.490,-2.340,1,21.150
2023-07-20,693.350,-10.420,19,35.943
2023-07-21,217.840,-14.470,5,40.674
2023-07-22,72.880,0.000,2,36.440
2023-07-23,0.000,0.000,0,0.000
