day,orders,gross_sales,discounts,returns,net_sales,shipping,duties,additional_fees,taxes,total_sales
2023-05-01,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-10,1,191.940,-191.940,-46.980,-46.980,0.000,0.000,0.000,0.000,-46.980
2023-05-11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-12,4,323.920,-24.280,0.000,299.640,35.000,0.000,0.000,0.000,334.640
2023-05-13,4,144.960,-21.730,0.000,123.230,25.450,0.000,0.000,0.000,148.680
2023-05-14,1,36.440,0.000,0.000,36.440,7.750,0.000,0.000,0.000,44.190
2023-05-15,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-16,5,204.890,-25.250,0.000,179.640,40.950,0.000,0.000,0.000,220.590
2023-05-17,15,592.040,-6.070,-78.880,507.090,71.700,0.000,0.000,0.000,578.790
2023-05-18,1,40.490,0.000,0.000,40.490,0.000,0.000,0.000,0.000,40.490
2023-05-19,4,161.960,-40.000,0.000,121.960,29.500,0.000,0.000,0.000,151.460
2023-05-20,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-21,6,225.940,0.000,-40.490,185.450,41.250,0.000,0.000,0.000,226.700
2023-05-22,6,228.380,-20.000,0.000,208.380,46.500,0.000,0.000,0.000,254.880
2023-05-23,4,168.450,-10.000,0.000,158.450,40.000,0.000,0.000,0.000,198.450
2023-05-24,10,569.300,-6.070,0.000,563.230,110.700,0.000,0.000,0.000,673.930
2023-05-25,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-26,1,23.490,0.000,0.000,23.490,5.500,0.000,0.000,0.000,28.990
2023-05-27,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-28,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-29,2,63.980,0.000,0.000,63.980,18.250,0.000,0.000,0.000,82.230
2023-05-30,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-05-31,10,337.790,-8.090,0.000,329.700,76.000,0.000,0.000,0.000,405.700
2023-06-01,5,185.450,0.000,0.000,185.450,36.750,0.000,0.000,0.000,222.200
2023-06-02,3,161.960,0.000,0.000,161.960,52.750,0.000,0.000,0.000,214.710
